drift,agent,dyn_regret_mean,dyn_regret_std,recovery_time,mean_reward@10,mean_reward@20,mean_reward@50
incremental,B8,942.3699893520857,69.07409356665407,,0.0002481013400079085,-0.0021831460821041516,-0.0005820523049101719
incremental,B9,0.0,0.0,,0.45963450108634285,0.46241335399481914,0.4613202712045216
incremental,DES-UCB,23.714619752343115,4.532269549352771,,0.4569925383117454,0.4546494819150984,0.44920815504848655
sinusoidal,B1,198.59142574183014,22.449817438602153,,0.18571992343833374,0.26018222700033145,0.3674965544860815
sinusoidal,B2,187.47090871202633,20.679602089778196,,0.4564740293682714,0.45322110787179914,0.45477733456526137
sinusoidal,B3,272.5928033135477,28.33811980974797,,0.18571992343833374,0.26018222700033145,0.3674965544860815
sinusoidal,B4,149.353497823364,27.480446567885576,,0.18571992343833374,0.26018222700033145,0.3674965544860815
sinusoidal,B5,168.33319165485256,15.75552903597478,,0.1844816688642937,0.25957952558520037,0.36651315626820274
sinusoidal,B6,98.30389880440633,9.91597884454503,,0.18571992343833374,0.26018222700033145,0.3674965544860815
sinusoidal,B7,188.72890993626532,20.672175819480948,,0.4565355580541927,0.4527393892323073,0.45063389612397464
sinusoidal,B8,1095.0863514230473,37.33509803991699,,0.0015934132388227273,-0.005812207589836756,-0.0024140999292723278
sinusoidal,B9,0.0,0.0,,0.4608803268371729,0.4605618899338873,0.4783353257560665
sinusoidal,DES-UCB,132.3032796675436,22.105653128274515,,0.4565355580541927,0.4499769399863265,0.4493524052551803
